system:index,CO,NO2,SO2,name,.geo
0,0.04181379386125388,1.1155184765790077E-4,1.1200258070241395E-4,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
1,0.03956725778674485,1.371573597045062E-4,1.6303320036840796E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.1025,28.7041]}"
2,0.04359052730093075,1.9988741571961947E-4,9.397434947546082E-5,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
3,0.03655694707174497,7.836928616338582E-5,-4.530938999061527E-5,Bengaluru,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
4,0.041263195337737146,9.573457641480472E-5,1.5213826936714728E-4,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
5,0.049046278233471095,1.0534457544165999E-4,1.6961627322237863E-5,Kolkata,"{""type"":""Point"",""coordinates"":[88.3639,22.5726]}"
6,0.03596272926968617,1.0215170602758815E-4,-2.1997758733052362E-4,Jaipur,"{""type"":""Point"",""coordinates"":[75.7873,26.9124]}"
7,0.03950502216102816,8.031565044440123E-5,-1.4152482194587622E-5,Pune,"{""type"":""Point"",""coordinates"":[73.8567,18.5204]}"
8,0.038781233055896376,1.2604748063239365E-4,2.6797752848622107E-4,Ahmedabad,"{""type"":""Point"",""coordinates"":[72.5714,23.0225]}"
9,0.04436792040751787,6.812645641945287E-5,-3.90673915769854E-5,Lucknow,"{""type"":""Point"",""coordinates"":[80.9462,26.846699999999995]}"
10,0.04238649189513103,1.5713789630068922E-4,2.212720156679837E-4,Ghaziabad,"{""type"":""Point"",""coordinates"":[77.4538,28.669200000000004]}"
11,0.035930920061918906,1.0421330249801047E-4,2.986848123191323E-4,Bhiwadi,"{""type"":""Point"",""coordinates"":[76.8173,28.211000000000002]}"
